./instancias/texto_mas_parecido_10_500_3.txt#18:38:13#18:39:29
Iteración	Distancia Inicial	Distancia Obtenida
0	351	337
1	356	341
2	349	340
3	347	336
4	356	348
5	348	342
6	345	341
7	345	337
8	357	342
9	347	334
10	352	344
11	355	338
12	350	340
13	351	336
14	356	338
15	349	335
16	354	342
17	345	339
18	351	341
19	349	342
20	349	342
21	349	343
22	355	338
23	351	336
24	367	347
25	358	343
26	354	335
27	345	339
28	360	339
29	352	339
30	353	336
31	346	339
32	345	338
33	354	339
34	354	341
35	351	338
36	354	342
37	354	344
38	343	338
39	348	340
40	351	338
41	354	339
42	351	345
43	354	337
44	348	342
45	350	340
46	367	342
47	359	341
48	363	339
49	343	338
50	341	335
51	346	335
52	367	341
53	349	342
54	347	339
55	349	338
56	350	341
57	353	342
58	349	341
59	352	341
60	347	338
61	349	337
62	355	343
63	350	339
64	352	337
65	348	337
66	351	338
67	347	340
68	347	342
69	353	340
70	354	342
71	347	336
72	350	339
73	349	341
74	351	340
75	349	343
76	358	335
77	347	340
78	356	339
79	348	338
80	349	342
81	349	339
82	360	341
83	351	336
84	350	340
85	368	343
86	345	340
87	355	344
88	346	341
89	357	345
90	350	344
91	344	342
92	349	339
93	356	338
94	359	339
95	362	342
96	343	336
97	354	337
98	357	341
99	351	340
