./instancias/texto_mas_parecido_10_500_3.txt#18:36:57#18:38:10
Iteración	Distancia Inicial	Distancia Obtenida
0	349	342
1	362	343
2	351	336
3	343	339
4	353	347
5	364	340
6	345	341
7	353	342
8	361	341
9	361	338
10	364	339
11	343	338
12	352	337
13	350	338
14	348	338
15	349	337
16	352	338
17	351	344
18	364	337
19	346	342
20	354	346
21	350	343
22	351	344
23	348	340
24	351	341
25	343	338
26	354	339
27	352	339
28	356	341
29	352	345
30	351	340
31	357	337
32	358	338
33	350	343
34	353	340
35	345	339
36	346	336
37	353	342
38	351	338
39	348	339
40	343	339
41	347	335
42	362	339
43	351	340
44	348	338
45	345	338
46	351	341
47	348	342
48	349	342
49	346	340
50	357	341
51	345	341
52	359	342
53	346	341
54	345	340
55	360	339
56	350	338
57	345	340
58	352	343
59	344	339
60	359	339
61	351	339
62	355	337
63	353	345
64	350	338
65	348	337
66	354	340
67	361	339
68	355	342
69	361	334
70	343	337
71	348	341
72	357	347
73	356	339
74	354	337
75	349	337
76	348	339
77	351	341
78	358	343
79	356	343
80	367	342
81	357	339
82	353	344
83	362	340
84	346	340
85	344	339
86	355	341
87	360	343
88	354	338
89	346	334
90	341	338
91	353	343
92	353	344
93	352	347
94	348	344
95	350	340
96	353	342
97	352	338
98	357	341
99	367	342
