./instancias/texto_mas_parecido_10_500_3.txt#18:35:19#18:36:46
Iteración	Distancia Inicial	Distancia Obtenida
0	358	344
1	354	336
2	349	339
3	360	340
4	349	339
5	347	339
6	355	338
7	347	344
8	346	339
9	352	342
10	349	341
11	347	337
12	348	341
13	349	337
14	344	337
15	352	342
16	347	341
17	358	336
18	348	340
19	356	339
20	350	339
21	351	340
22	352	340
23	350	342
24	366	340
25	353	342
26	344	338
27	353	345
28	347	337
29	350	336
30	344	340
31	358	345
32	346	338
33	354	337
34	345	339
35	354	340
36	351	335
37	350	340
38	343	339
39	362	340
40	351	342
41	349	338
42	353	335
43	351	339
44	366	335
45	360	342
46	345	336
47	352	339
48	353	338
49	353	345
50	357	341
51	352	343
52	347	337
53	346	340
54	351	341
55	354	344
56	344	338
57	354	339
58	346	338
59	360	341
60	353	338
61	352	340
62	346	342
63	347	339
64	351	342
65	352	340
66	353	340
67	354	339
68	346	340
69	351	344
70	344	335
71	364	338
72	354	340
73	354	344
74	358	343
75	360	337
76	353	339
77	351	341
78	343	336
79	353	339
80	355	341
81	356	340
82	353	337
83	352	338
84	356	336
85	354	339
86	350	340
87	350	342
88	352	342
89	347	338
90	349	340
91	348	338
92	356	342
93	359	338
94	349	340
95	352	340
96	348	339
97	353	341
98	361	336
99	352	344
