./instancias/texto_mas_parecido_10_500_2.txt#18:22:34#18:23:44
Iteración	Distancia Inicial	Distancia Obtenida
0	354	341
1	354	341
2	358	341
3	344	337
4	354	338
5	346	340
6	348	338
7	346	339
8	353	343
9	346	337
10	348	339
11	352	341
12	362	347
13	357	342
14	343	336
15	345	340
16	347	337
17	352	344
18	352	342
19	351	343
20	353	344
21	351	338
22	350	340
23	351	342
24	354	345
25	352	343
26	350	342
27	350	342
28	355	343
29	352	340
30	343	340
31	352	344
32	351	337
33	346	338
34	354	347
35	350	342
36	353	340
37	348	342
38	352	339
39	346	340
40	352	339
41	357	337
42	357	341
43	349	339
44	343	335
45	350	339
46	351	343
47	353	343
48	362	342
49	354	342
50	355	343
51	351	342
52	354	340
53	362	342
54	347	341
55	365	339
56	346	338
57	356	342
58	365	338
59	348	338
60	347	340
61	347	341
62	355	345
63	360	346
64	361	343
65	351	345
66	352	339
67	359	342
68	353	340
69	356	348
70	349	339
71	355	338
72	352	338
73	353	338
74	356	350
75	351	342
76	349	342
77	347	342
78	354	341
79	354	341
80	353	345
81	344	338
82	358	338
83	351	341
84	354	340
85	354	344
86	345	341
87	353	337
88	355	343
89	357	340
90	356	344
91	354	340
92	349	338
93	354	343
94	347	341
95	352	344
96	355	340
97	346	336
98	360	348
99	351	339
