./instancias/texto_mas_parecido_10_500_1.txt#18:01:57#18:03:22
Iteración	Distancia Inicial	Distancia Obtenida
0	344	336
1	346	342
2	349	335
3	349	337
4	355	342
5	356	338
6	354	338
7	339	334
8	342	336
9	356	344
10	345	334
11	346	334
12	345	336
13	361	337
14	351	338
15	345	337
16	352	337
17	350	339
18	359	337
19	347	337
20	351	336
21	351	345
22	344	338
23	355	339
24	346	336
25	349	336
26	345	336
27	353	343
28	352	338
29	350	340
30	347	338
31	348	333
32	349	339
33	348	337
34	349	338
35	341	338
36	340	334
37	352	338
38	354	336
39	346	335
40	344	336
41	353	339
42	361	346
43	356	340
44	356	340
45	349	336
46	349	336
47	342	339
48	359	340
49	356	340
50	352	340
51	357	336
52	356	338
53	349	338
54	348	343
55	353	339
56	351	335
57	358	334
58	344	338
59	349	336
60	349	337
61	363	338
62	346	335
63	352	340
64	339	334
65	361	340
66	353	339
67	343	336
68	346	331
69	345	336
70	349	337
71	357	337
72	346	338
73	345	334
74	353	335
75	343	338
76	350	335
77	343	336
78	347	339
79	361	341
80	341	336
81	363	340
82	345	335
83	353	336
84	352	336
85	352	338
86	351	340
87	357	342
88	343	336
89	358	339
90	353	342
91	345	340
92	351	341
93	351	340
94	349	343
95	347	337
96	349	337
97	357	342
98	349	339
99	355	339
