./instancias/texto_mas_parecido_10_500_2.txt#18:19:34#18:20:49
Iteración	Distancia Inicial	Distancia Obtenida
0	360	339
1	346	339
2	360	341
3	358	338
4	356	341
5	362	337
6	359	343
7	346	340
8	363	345
9	352	340
10	345	339
11	360	345
12	351	339
13	346	338
14	358	343
15	349	339
16	349	339
17	353	339
18	362	340
19	348	339
20	351	343
21	349	340
22	348	341
23	360	340
24	353	341
25	342	335
26	354	336
27	354	343
28	352	342
29	349	343
30	347	340
31	343	337
32	346	341
33	348	342
34	356	341
35	343	341
36	348	341
37	349	345
38	351	343
39	355	348
40	348	341
41	340	336
42	352	339
43	352	338
44	351	336
45	348	338
46	362	344
47	366	341
48	345	336
49	346	337
50	348	340
51	353	343
52	359	341
53	351	336
54	355	341
55	360	340
56	346	341
57	351	343
58	352	338
59	361	341
60	358	339
61	352	338
62	347	338
63	352	342
64	357	339
65	347	342
66	345	338
67	351	339
68	351	337
69	344	340
70	350	338
71	352	342
72	348	343
73	348	339
74	350	343
75	348	338
76	358	344
77	354	341
78	343	332
79	346	339
80	358	337
81	358	342
82	354	339
83	353	338
84	359	341
85	358	338
86	352	338
87	357	340
88	345	338
89	354	340
90	352	341
91	353	338
92	362	345
93	349	339
94	359	340
95	351	339
96	367	341
97	349	339
98	348	341
99	352	339
