./instancias/texto_mas_parecido_10_500_3.txt#18:41:01#18:42:17
Iteración	Distancia Inicial	Distancia Obtenida
0	344	336
1	367	345
2	357	335
3	346	339
4	358	342
5	349	339
6	351	342
7	357	342
8	347	340
9	365	345
10	351	339
11	351	340
12	351	341
13	348	341
14	357	341
15	368	343
16	351	343
17	354	336
18	345	338
19	346	339
20	348	337
21	344	336
22	361	337
23	352	338
24	348	342
25	352	341
26	366	338
27	355	344
28	356	343
29	343	338
30	344	339
31	349	341
32	351	339
33	343	338
34	354	343
35	357	341
36	353	340
37	356	342
38	351	341
39	350	340
40	347	343
41	347	339
42	345	338
43	348	340
44	356	341
45	357	344
46	349	341
47	354	341
48	345	335
49	345	341
50	358	340
51	350	338
52	348	341
53	350	339
54	346	337
55	348	337
56	350	339
57	347	338
58	348	342
59	358	339
60	348	340
61	339	335
62	347	342
63	350	339
64	351	339
65	354	337
66	353	344
67	350	341
68	353	338
69	352	344
70	355	339
71	347	342
72	350	341
73	358	343
74	356	337
75	348	339
76	359	342
77	347	340
78	348	336
79	344	335
80	350	343
81	354	343
82	347	338
83	346	339
84	346	336
85	347	339
86	346	337
87	356	339
88	354	336
89	341	337
90	351	337
91	346	339
92	356	343
93	351	343
94	351	344
95	352	338
96	352	338
97	354	339
98	356	335
99	353	340
