./instancias/texto_mas_parecido_10_500_1.txt#18:03:24#18:04:50
Iteración	Distancia Inicial	Distancia Obtenida
0	346	339
1	350	335
2	349	338
3	344	336
4	351	341
5	358	340
6	356	337
7	354	342
8	353	341
9	346	341
10	349	337
11	353	338
12	355	345
13	348	338
14	351	340
15	358	336
16	346	340
17	346	336
18	356	340
19	349	341
20	356	342
21	347	341
22	356	336
23	351	337
24	352	335
25	350	338
26	347	339
27	354	344
28	350	342
29	359	339
30	349	341
31	350	340
32	363	338
33	354	342
34	364	339
35	342	331
36	351	338
37	348	335
38	354	338
39	347	335
40	348	340
41	344	337
42	347	334
43	348	340
44	348	340
45	344	335
46	347	339
47	344	336
48	354	339
49	355	337
50	357	344
51	341	334
52	356	340
53	351	339
54	344	334
55	356	342
56	350	336
57	345	333
58	341	334
59	341	337
60	342	338
61	343	337
62	364	340
63	349	335
64	350	342
65	348	335
66	344	338
67	357	339
68	341	337
69	349	341
70	340	337
71	353	335
72	352	337
73	353	333
74	340	336
75	350	340
76	360	339
77	346	334
78	357	348
79	353	342
80	358	340
81	346	338
82	353	337
83	344	335
84	347	339
85	365	336
86	343	337
87	347	337
88	351	338
89	353	332
90	361	334
91	361	337
92	357	340
93	361	341
94	357	342
95	354	338
96	354	340
97	344	338
98	345	337
99	345	339
