./instancias/texto_mas_parecido_10_500_3.txt#18:39:34#18:40:53
Iteración	Distancia Inicial	Distancia Obtenida
0	343	339
1	355	340
2	364	339
3	358	338
4	352	335
5	356	339
6	342	339
7	351	340
8	351	340
9	354	340
10	350	337
11	354	341
12	359	339
13	346	341
14	359	337
15	351	341
16	351	341
17	359	342
18	348	339
19	355	341
20	352	336
21	350	338
22	343	339
23	351	340
24	341	337
25	357	341
26	363	338
27	351	342
28	352	340
29	346	339
30	347	340
31	352	344
32	356	341
33	351	339
34	350	338
35	351	337
36	350	340
37	352	340
38	342	336
39	351	340
40	353	344
41	362	340
42	348	341
43	354	339
44	357	337
45	355	338
46	352	340
47	355	340
48	363	338
49	356	340
50	357	345
51	349	335
52	353	340
53	345	336
54	352	340
55	353	335
56	352	341
57	357	343
58	352	337
59	347	344
60	355	341
61	351	342
62	359	345
63	350	341
64	353	338
65	351	338
66	349	339
67	360	340
68	355	341
69	352	341
70	354	341
71	354	337
72	351	342
73	370	338
74	352	339
75	356	337
76	349	339
77	355	344
78	347	339
79	345	340
80	358	339
81	356	334
82	353	340
83	354	341
84	350	339
85	353	342
86	346	337
87	349	341
88	349	336
89	351	338
90	344	339
91	351	340
92	349	340
93	344	339
94	345	340
95	357	340
96	354	345
97	345	337
98	346	338
99	356	336
