./instancias/texto_mas_parecido_20_300_1.txt#19:33:54#19:35:43
Iteración	Distancia Inicial	Distancia Obtenida
0	227	221
1	236	221
2	226	219
3	224	221
4	226	220
5	226	221
6	226	220
7	233	219
8	227	224
9	231	220
10	227	220
11	228	217
12	234	222
13	227	221
14	230	223
15	233	225
16	228	219
17	228	224
18	224	219
19	225	220
20	231	222
21	232	223
22	228	222
23	226	221
24	230	221
25	229	222
26	227	217
27	225	218
28	222	217
29	223	220
30	231	223
31	230	220
32	229	220
33	229	222
34	227	219
35	230	220
36	230	224
37	226	223
38	223	219
39	227	222
40	227	219
41	235	221
42	222	218
43	226	219
44	234	223
45	224	218
46	236	219
47	225	220
48	229	222
49	232	224
50	231	220
51	234	224
52	231	222
53	230	221
54	227	221
55	233	222
56	233	219
57	223	219
58	239	222
59	228	218
60	230	220
61	239	222
62	226	221
63	231	222
64	229	216
65	229	220
66	231	221
67	230	221
68	231	220
69	229	221
70	231	222
71	226	221
72	226	220
73	228	223
74	225	220
75	230	223
76	228	222
77	228	222
78	228	223
79	224	220
80	233	221
81	222	220
82	229	220
83	228	218
84	230	220
85	227	221
86	227	221
87	228	221
88	225	217
89	229	225
90	238	222
91	225	218
92	230	222
93	239	222
94	226	218
95	228	220
96	228	218
97	232	221
98	224	221
99	228	221
