./instancias/texto_mas_parecido_20_300_3.txt#18:40:13#18:42:19
Iteración	Distancia Inicial	Distancia Obtenida
0	226	218
1	228	220
2	233	220
3	232	222
4	224	219
5	224	221
6	228	223
7	225	218
8	224	220
9	232	220
10	227	216
11	225	216
12	227	221
13	228	220
14	230	222
15	227	219
16	229	220
17	233	216
18	229	217
19	228	221
20	226	218
21	228	220
22	229	219
23	234	220
24	232	217
25	226	220
26	227	219
27	226	218
28	228	222
29	228	221
30	223	219
31	228	219
32	225	217
33	226	219
34	230	220
35	235	219
36	223	219
37	228	221
38	230	217
39	223	217
40	233	221
41	226	216
42	226	220
43	223	219
44	223	217
45	223	219
46	230	220
47	234	217
48	228	217
49	223	217
50	234	222
51	227	219
52	227	219
53	224	219
54	230	219
55	234	220
56	228	220
57	225	219
58	229	219
59	225	215
60	227	221
61	232	218
62	228	222
63	229	219
64	234	221
65	227	223
66	228	219
67	228	223
68	229	219
69	222	219
70	232	221
71	222	217
72	230	222
73	226	217
74	224	220
75	228	220
76	234	221
77	230	224
78	234	222
79	228	220
80	234	220
81	227	218
82	222	220
83	230	221
84	234	219
85	232	220
86	235	218
87	226	220
88	224	218
89	226	220
90	227	221
91	230	222
92	224	221
93	235	222
94	230	220
95	232	219
96	231	221
97	226	220
98	231	219
99	226	221
