./instancias/texto_mas_parecido_20_300_1.txt#19:24:55#19:26:40
Iteración	Distancia Inicial	Distancia Obtenida
0	233	221
1	232	222
2	233	218
3	230	224
4	224	220
5	225	221
6	230	222
7	232	221
8	233	219
9	230	224
10	233	220
11	227	219
12	231	220
13	228	221
14	222	219
15	231	221
16	225	217
17	230	219
18	227	223
19	225	219
20	234	224
21	223	219
22	234	223
23	230	221
24	225	219
25	231	220
26	237	221
27	228	221
28	223	220
29	223	216
30	227	219
31	228	221
32	227	220
33	230	223
34	230	223
35	225	221
36	226	221
37	234	219
38	226	216
39	226	222
40	234	224
41	222	216
42	229	223
43	225	218
44	227	221
45	233	223
46	230	219
47	224	219
48	225	221
49	225	222
50	227	219
51	228	225
52	224	220
53	238	223
54	227	221
55	230	222
56	235	222
57	229	221
58	225	218
59	227	220
60	225	220
61	229	222
62	237	226
63	229	222
64	228	219
65	226	222
66	229	222
67	223	216
68	227	219
69	226	222
70	229	220
71	225	219
72	227	221
73	229	221
74	226	222
75	222	218
76	228	221
77	224	221
78	231	220
79	226	222
80	232	219
81	228	220
82	226	220
83	228	220
84	232	221
85	230	222
86	230	220
87	224	218
88	228	223
89	230	220
90	229	220
91	222	218
92	228	222
93	225	219
94	222	215
95	227	221
96	222	219
97	229	217
98	225	218
99	228	219
