./instancias/texto_mas_parecido_20_300_2.txt#19:06:02#19:07:58
Iteración	Distancia Inicial	Distancia Obtenida
0	223	218
1	226	222
2	221	219
3	234	219
4	225	219
5	225	218
6	230	219
7	226	218
8	228	217
9	234	222
10	230	218
11	231	222
12	228	219
13	224	218
14	233	222
15	228	220
16	232	223
17	227	220
18	227	219
19	229	220
20	226	218
21	226	221
22	225	216
23	235	222
24	229	221
25	227	219
26	232	220
27	223	220
28	224	218
29	229	219
30	227	219
31	227	221
32	235	219
33	234	221
34	222	220
35	229	224
36	226	219
37	229	222
38	226	222
39	230	218
40	230	224
41	234	221
42	228	218
43	223	219
44	223	219
45	230	222
46	221	219
47	232	222
48	229	220
49	230	217
50	228	220
51	224	215
52	225	219
53	231	224
54	231	217
55	222	219
56	227	217
57	228	224
58	226	219
59	227	222
60	228	219
61	228	220
62	228	221
63	227	220
64	232	224
65	225	220
66	228	221
67	230	219
68	229	221
69	226	220
70	225	220
71	229	223
72	227	220
73	232	221
74	226	219
75	234	220
76	222	218
77	224	219
78	225	219
79	224	216
80	229	218
81	229	221
82	221	219
83	238	220
84	227	219
85	232	221
86	227	217
87	226	222
88	224	219
89	221	217
90	230	225
91	229	219
92	228	222
93	235	219
94	225	219
95	230	222
96	227	219
97	228	222
98	233	221
99	232	222
