./instancias/texto_mas_parecido_20_300_2.txt#19:04:14#19:06:02
Iteración	Distancia Inicial	Distancia Obtenida
0	229	216
1	229	221
2	232	218
3	235	225
4	232	221
5	228	220
6	227	221
7	229	220
8	228	220
9	231	225
10	225	218
11	228	220
12	225	222
13	225	219
14	225	217
15	230	220
16	228	224
17	228	223
18	236	222
19	233	225
20	224	220
21	226	222
22	225	220
23	234	224
24	228	219
25	226	219
26	225	220
27	226	220
28	231	219
29	221	219
30	226	220
31	233	221
32	229	219
33	227	222
34	225	219
35	232	222
36	229	221
37	221	216
38	229	222
39	226	217
40	230	218
41	229	221
42	229	223
43	230	220
44	223	221
45	226	219
46	233	222
47	225	219
48	236	224
49	224	218
50	227	222
51	229	222
52	232	221
53	235	226
54	228	217
55	227	218
56	229	219
57	225	218
58	234	223
59	230	219
60	231	220
61	220	215
62	234	222
63	225	217
64	233	221
65	228	218
66	225	221
67	223	220
68	232	220
69	225	220
70	230	223
71	230	224
72	227	220
73	230	216
74	225	220
75	222	216
76	227	218
77	228	217
78	223	219
79	233	223
80	230	220
81	223	218
82	234	221
83	228	220
84	226	223
85	226	220
86	224	221
87	231	222
88	229	220
89	228	217
90	225	221
91	223	219
92	227	222
93	235	219
94	228	223
95	225	220
96	231	221
97	224	217
98	224	220
99	232	220
