./instancias/texto_mas_parecido_20_300_1.txt#19:19:44#19:21:26
Iteración	Distancia Inicial	Distancia Obtenida
0	228	220
1	225	221
2	225	219
3	224	220
4	229	223
5	227	222
6	234	221
7	223	219
8	228	220
9	227	219
10	227	219
11	223	218
12	235	221
13	231	222
14	225	221
15	225	219
16	230	222
17	227	223
18	228	220
19	229	222
20	227	221
21	232	221
22	231	223
23	228	218
24	227	219
25	233	222
26	232	223
27	229	220
28	225	218
29	232	221
30	224	220
31	229	219
32	225	221
33	226	219
34	226	222
35	226	220
36	224	218
37	224	219
38	234	223
39	227	222
40	228	223
41	231	225
42	228	221
43	224	219
44	231	221
45	224	220
46	229	221
47	226	218
48	231	222
49	226	222
50	222	218
51	227	222
52	230	221
53	229	217
54	231	218
55	229	223
56	230	222
57	228	219
58	225	219
59	225	222
60	222	219
61	226	221
62	230	223
63	230	222
64	233	222
65	229	222
66	230	225
67	228	221
68	232	221
69	228	220
70	230	223
71	228	221
72	227	221
73	227	220
74	234	216
75	230	219
76	231	221
77	225	217
78	233	223
79	229	221
80	225	220
81	231	224
82	228	219
83	232	221
84	224	218
85	233	221
86	223	218
87	228	220
88	227	222
89	226	217
90	233	218
91	230	221
92	224	219
93	228	220
94	227	218
95	233	222
96	234	221
97	228	223
98	230	219
99	223	221
