./instancias/texto_mas_parecido_20_300_3.txt#18:34:32#18:36:30
Iteración	Distancia Inicial	Distancia Obtenida
0	229	219
1	229	219
2	226	219
3	235	217
4	226	217
5	227	218
6	226	219
7	226	217
8	226	219
9	223	220
10	223	216
11	231	222
12	225	218
13	227	217
14	221	217
15	227	219
16	231	219
17	228	218
18	223	217
19	224	222
20	237	220
21	227	217
22	228	218
23	229	220
24	228	222
25	225	218
26	228	217
27	226	220
28	234	221
29	225	219
30	228	221
31	227	220
32	227	220
33	228	219
34	229	219
35	229	221
36	228	221
37	228	221
38	225	218
39	230	220
40	228	223
41	230	218
42	230	218
43	224	218
44	222	216
45	221	217
46	234	221
47	224	215
48	230	219
49	229	218
50	226	218
51	227	218
52	225	220
53	234	216
54	231	223
55	224	219
56	223	220
57	229	218
58	225	222
59	226	216
60	229	220
61	224	219
62	226	219
63	227	219
64	225	217
65	226	220
66	228	219
67	229	220
68	224	219
69	230	219
70	223	218
71	225	220
72	226	220
73	227	218
74	226	218
75	223	217
76	231	222
77	225	219
78	229	220
79	238	222
80	228	221
81	229	221
82	228	217
83	220	217
84	225	217
85	227	223
86	224	220
87	228	221
88	226	220
89	227	218
90	231	220
91	224	216
92	225	221
93	229	217
94	222	220
95	233	220
96	226	218
97	225	219
98	226	219
99	224	221
