./instancias/texto_mas_parecido_20_300_2.txt#19:09:55#19:11:43
Iteración	Distancia Inicial	Distancia Obtenida
0	229	218
1	223	218
2	229	223
3	227	218
4	233	224
5	227	221
6	224	218
7	231	222
8	228	220
9	233	218
10	230	220
11	225	219
12	231	219
13	231	224
14	228	219
15	229	221
16	230	220
17	224	217
18	231	222
19	233	223
20	227	220
21	230	221
22	232	220
23	229	223
24	224	219
25	226	218
26	229	221
27	225	218
28	234	222
29	226	220
30	234	224
31	233	219
32	236	223
33	226	221
34	227	222
35	231	218
36	231	222
37	227	221
38	231	222
39	228	220
40	228	219
41	225	222
42	227	219
43	226	220
44	229	223
45	230	220
46	227	221
47	228	217
48	231	220
49	227	222
50	222	218
51	224	220
52	229	220
53	227	220
54	223	217
55	228	223
56	226	220
57	232	219
58	225	217
59	227	221
60	231	218
61	232	220
62	226	222
63	234	221
64	227	219
65	232	222
66	233	222
67	226	219
68	235	222
69	223	219
70	232	218
71	226	219
72	228	221
73	230	221
74	232	222
75	226	220
76	228	221
77	231	221
78	225	220
79	226	220
80	222	221
81	226	222
82	227	219
83	222	219
84	224	218
85	229	222
86	231	224
87	231	219
88	228	218
89	231	217
90	228	220
91	223	218
92	224	217
93	233	222
94	227	220
95	228	223
96	227	222
97	226	222
98	220	218
99	228	218
