./instancias/texto_mas_parecido_20_300_1.txt#19:28:27#19:30:19
Iteración	Distancia Inicial	Distancia Obtenida
0	228	223
1	224	221
2	227	220
3	226	222
4	231	220
5	230	223
6	221	217
7	228	221
8	234	221
9	230	221
10	224	217
11	231	222
12	227	217
13	227	218
14	225	219
15	235	221
16	227	219
17	228	221
18	230	222
19	228	223
20	229	220
21	228	219
22	232	221
23	223	219
24	224	220
25	229	225
26	221	218
27	224	220
28	231	222
29	230	220
30	243	224
31	230	221
32	228	218
33	224	218
34	242	222
35	227	220
36	228	221
37	229	218
38	229	223
39	232	218
40	223	220
41	229	222
42	234	222
43	230	223
44	232	220
45	227	220
46	224	218
47	231	219
48	232	222
49	232	222
50	229	220
51	221	217
52	235	222
53	237	223
54	227	220
55	225	218
56	223	217
57	227	219
58	224	220
59	228	224
60	232	223
61	228	222
62	232	221
63	229	222
64	231	222
65	228	223
66	229	221
67	224	220
68	228	221
69	232	223
70	234	225
71	234	222
72	228	223
73	227	220
74	229	222
75	228	222
76	226	219
77	230	219
78	234	218
79	229	221
80	226	219
81	231	222
82	240	221
83	232	223
84	228	222
85	233	221
86	227	221
87	226	222
88	231	224
89	238	222
90	228	222
91	225	219
92	225	220
93	222	217
94	228	220
95	225	219
96	234	222
97	228	220
98	233	222
99	232	219
