./instancias/texto_mas_parecido_20_300_1.txt#19:35:43#19:37:33
Iteración	Distancia Inicial	Distancia Obtenida
0	226	221
1	231	220
2	223	218
3	227	222
4	232	221
5	226	220
6	227	220
7	233	222
8	233	225
9	234	221
10	233	220
11	227	221
12	223	219
13	234	219
14	229	221
15	228	222
16	225	220
17	224	220
18	227	220
19	238	221
20	225	220
21	224	219
22	235	223
23	232	221
24	224	218
25	228	218
26	232	223
27	229	221
28	239	221
29	225	222
30	226	219
31	229	222
32	233	220
33	224	219
34	226	219
35	221	219
36	223	219
37	225	221
38	233	225
39	223	222
40	226	218
41	232	221
42	230	219
43	228	223
44	221	218
45	223	220
46	232	222
47	235	221
48	222	219
49	232	222
50	233	223
51	237	221
52	231	221
53	223	219
54	226	219
55	229	221
56	228	220
57	224	219
58	227	224
59	229	219
60	225	222
61	234	219
62	233	221
63	232	223
64	227	222
65	227	222
66	224	219
67	230	224
68	227	219
69	230	221
70	225	220
71	229	220
72	226	220
73	225	220
74	228	223
75	224	220
76	231	222
77	231	217
78	231	222
79	226	220
80	227	222
81	225	220
82	232	218
83	227	219
84	227	219
85	228	221
86	230	222
87	224	219
88	228	220
89	234	220
90	229	224
91	229	219
92	232	221
93	236	222
94	231	226
95	228	220
96	229	224
97	231	223
98	235	227
99	229	224
