./instancias/texto_mas_parecido_20_300_2.txt#19:00:30#19:02:26
Iteración	Distancia Inicial	Distancia Obtenida
0	228	218
1	230	220
2	226	219
3	225	217
4	228	221
5	224	216
6	225	219
7	230	221
8	227	220
9	229	221
10	222	218
11	226	221
12	226	222
13	230	221
14	235	221
15	225	219
16	228	216
17	228	218
18	231	220
19	226	222
20	229	219
21	229	220
22	226	223
23	223	221
24	223	219
25	228	221
26	234	222
27	229	218
28	228	217
29	227	221
30	226	220
31	228	219
32	226	219
33	246	219
34	231	222
35	224	219
36	226	222
37	223	218
38	222	219
39	227	221
40	230	223
41	227	219
42	228	221
43	231	222
44	226	223
45	230	219
46	229	219
47	227	218
48	228	220
49	228	221
50	220	217
51	230	219
52	228	220
53	229	220
54	229	221
55	231	225
56	230	219
57	233	219
58	231	223
59	231	221
60	225	221
61	227	220
62	230	219
63	233	221
64	225	217
65	228	218
66	227	219
67	230	221
68	226	222
69	229	222
70	228	218
71	226	218
72	224	220
73	223	220
74	227	218
75	227	219
76	223	220
77	227	220
78	223	218
79	232	220
80	228	221
81	222	219
82	226	219
83	236	221
84	227	221
85	229	224
86	226	220
87	232	220
88	228	219
89	238	223
90	239	220
91	229	219
92	227	221
93	227	221
94	230	223
95	225	217
96	229	221
97	233	222
98	237	221
99	229	222
