./instancias/texto_mas_parecido_20_300_3.txt#18:38:23#18:40:13
Iteración	Distancia Inicial	Distancia Obtenida
0	225	218
1	224	219
2	229	218
3	221	217
4	237	218
5	222	219
6	223	217
7	222	220
8	222	219
9	228	223
10	222	217
11	226	219
12	220	218
13	226	220
14	227	219
15	228	219
16	228	217
17	224	219
18	223	220
19	230	218
20	225	221
21	226	220
22	224	219
23	226	219
24	232	222
25	231	220
26	226	219
27	228	222
28	223	218
29	224	219
30	224	219
31	237	222
32	238	220
33	226	216
34	226	221
35	230	222
36	228	218
37	227	223
38	228	219
39	235	225
40	232	222
41	228	222
42	227	220
43	235	225
44	222	216
45	224	217
46	234	220
47	229	223
48	227	222
49	227	218
50	235	220
51	225	219
52	230	219
53	224	219
54	224	219
55	232	221
56	224	219
57	222	219
58	231	221
59	229	221
60	224	218
61	230	224
62	225	218
63	226	221
64	232	219
65	228	220
66	227	221
67	225	218
68	222	216
69	220	217
70	227	220
71	231	216
72	230	220
73	231	220
74	227	219
75	225	219
76	235	219
77	227	219
78	224	221
79	229	223
80	229	221
81	228	220
82	228	221
83	221	218
84	230	219
85	225	218
86	230	219
87	226	222
88	227	220
89	226	218
90	228	218
91	224	217
92	224	219
93	223	216
94	221	215
95	232	219
96	230	219
97	233	222
98	227	221
99	229	218
