./instancias/texto_mas_parecido_20_700_3.txt#23:13:36#23:23:19
Iteración	Distancia Inicial	Distancia Obtenida
0	515	509
1	515	504
2	519	505
3	518	503
4	520	507
5	517	510
6	523	511
7	514	505
8	517	509
9	525	504
10	524	511
11	513	499
12	516	506
13	524	508
14	520	506
15	520	507
16	532	506
17	523	510
18	510	501
19	518	506
20	515	503
21	518	509
22	522	506
23	518	505
24	515	507
25	513	502
26	512	499
27	519	508
28	518	511
29	517	509
30	526	505
31	515	500
32	521	509
33	519	508
34	510	502
35	538	510
36	519	504
37	520	508
38	524	502
39	526	506
40	523	505
41	518	508
42	519	505
43	519	507
44	524	505
45	512	503
46	519	506
47	532	510
48	514	506
49	517	501
50	526	503
51	523	507
52	520	509
53	513	501
54	517	506
55	521	506
56	517	502
57	522	509
58	513	498
59	516	510
60	512	503
61	512	504
62	530	504
63	510	503
64	519	510
65	512	503
66	518	503
67	510	504
68	531	513
69	512	501
70	517	504
71	516	504
72	512	504
73	513	504
74	514	500
75	531	508
76	514	497
77	518	512
78	513	504
79	517	507
80	513	506
81	512	505
82	522	504
83	519	503
84	523	503
85	525	505
86	513	500
87	521	509
88	511	504
89	520	509
90	520	507
91	537	500
92	524	505
93	514	502
94	529	508
95	523	509
96	516	504
97	518	504
98	523	504
99	514	504
