./instancias/texto_mas_parecido_20_700_1.txt#13:25:53#13:35:07
Iteración	Distancia Inicial	Distancia Obtenida
0	522	507
1	515	502
2	517	510
3	518	508
4	514	509
5	521	510
6	516	507
7	527	511
8	512	504
9	526	511
10	519	505
11	523	506
12	523	512
13	517	507
14	528	514
15	527	513
16	518	507
17	522	509
18	518	506
19	525	509
20	520	508
21	528	512
22	513	503
23	518	508
24	517	509
25	525	514
26	526	506
27	518	502
28	517	510
29	524	512
30	522	509
31	521	506
32	524	510
33	521	512
34	515	508
35	519	508
36	519	508
37	516	510
38	519	509
39	529	513
40	515	505
41	523	509
42	516	505
43	523	511
44	524	510
45	528	509
46	516	507
47	530	511
48	517	511
49	517	504
50	512	505
51	513	506
52	520	516
53	519	511
54	526	509
55	521	510
56	518	509
57	529	510
58	526	514
59	518	505
60	520	508
61	513	505
62	529	508
63	543	509
64	515	506
65	530	507
66	519	508
67	513	508
68	522	514
69	526	511
70	517	506
71	519	510
72	530	504
73	526	508
74	524	512
75	518	505
76	514	508
77	527	506
78	525	511
79	517	506
80	522	508
81	528	508
82	534	508
83	520	510
84	525	513
85	530	513
86	517	508
87	522	508
88	521	507
89	518	511
90	522	510
91	517	507
92	525	505
93	534	507
94	515	505
95	522	507
96	529	506
97	522	513
98	514	505
99	518	510
