./instancias/texto_mas_parecido_20_700_3.txt#22:16:38#22:25:23
Iteración	Distancia Inicial	Distancia Obtenida
0	518	507
1	515	504
2	512	501
3	521	500
4	515	502
5	510	501
6	513	500
7	522	503
8	517	499
9	520	508
10	512	508
11	520	507
12	522	507
13	529	505
14	515	505
15	520	507
16	518	504
17	512	501
18	517	504
19	515	507
20	518	504
21	517	509
22	516	510
23	520	506
24	518	501
25	516	504
26	528	508
27	539	509
28	522	500
29	521	502
30	515	504
31	519	506
32	518	508
33	509	501
34	519	509
35	518	500
36	513	507
37	530	508
38	535	502
39	513	501
40	516	506
41	533	505
42	513	503
43	507	501
44	522	506
45	517	501
46	520	502
47	522	505
48	511	502
49	518	507
50	516	508
51	512	506
52	522	508
53	511	504
54	507	504
55	512	507
56	521	507
57	522	510
58	519	506
59	515	504
60	512	505
61	525	506
62	521	506
63	522	509
64	520	506
65	513	503
66	522	506
67	520	508
68	516	506
69	524	507
70	512	504
71	531	510
72	512	504
73	523	507
74	517	510
75	518	510
76	517	503
77	517	508
78	522	505
79	513	502
80	519	511
81	510	502
82	522	507
83	520	507
84	515	502
85	511	504
86	513	504
87	517	507
88	520	505
89	508	500
90	517	506
91	516	503
92	515	502
93	523	509
94	512	505
95	522	507
96	514	506
97	509	501
98	511	502
99	521	500
