./instancias/texto_mas_parecido_20_700_2.txt#02:51:28#03:01:10
Iteración	Distancia Inicial	Distancia Obtenida
0	513	503
1	520	506
2	518	508
3	516	509
4	516	506
5	523	510
6	523	510
7	522	502
8	513	507
9	517	503
10	528	507
11	520	506
12	513	503
13	515	503
14	516	506
15	517	508
16	504	501
17	537	503
18	513	504
19	518	506
20	512	507
21	532	511
22	523	505
23	513	502
24	528	505
25	527	506
26	511	503
27	522	505
28	515	509
29	531	508
30	531	509
31	531	505
32	522	505
33	514	507
34	524	509
35	520	498
36	522	507
37	527	503
38	513	506
39	515	506
40	513	507
41	518	504
42	541	509
43	523	510
44	510	506
45	516	505
46	517	506
47	517	503
48	520	506
49	519	508
50	515	506
51	525	510
52	510	503
53	517	505
54	517	508
55	529	504
56	521	507
57	521	505
58	518	504
59	514	506
60	518	504
61	521	503
62	517	510
63	525	506
64	516	504
65	518	501
66	525	508
67	523	503
68	521	506
69	528	501
70	507	499
71	531	508
72	521	507
73	517	505
74	533	502
75	510	502
76	516	501
77	516	503
78	514	502
79	506	502
80	513	505
81	524	506
82	528	507
83	522	503
84	530	505
85	526	509
86	518	507
87	519	507
88	521	505
89	522	503
90	516	502
91	519	506
92	535	511
93	524	507
94	507	499
95	523	501
96	524	505
97	507	501
98	514	508
99	514	504
