./instancias/texto_mas_parecido_15_500_3.txt#01:34:54#01:37:29
Iteración	Distancia Inicial	Distancia Obtenida
0	369	353
1	365	352
2	366	354
3	360	354
4	363	350
5	360	353
6	363	353
7	361	350
8	359	351
9	359	353
10	369	352
11	371	350
12	362	350
13	367	353
14	368	351
15	360	351
16	364	351
17	362	355
18	371	350
19	362	357
20	366	356
21	361	357
22	365	353
23	362	351
24	367	355
25	363	350
26	366	349
27	364	353
28	374	357
29	368	350
30	358	348
31	366	357
32	365	351
33	365	353
34	358	351
35	371	351
36	368	357
37	363	351
38	361	350
39	365	352
40	374	355
41	358	348
42	365	356
43	371	352
44	365	356
45	367	353
46	370	356
47	354	350
48	366	348
49	364	357
50	357	351
51	360	352
52	364	357
53	364	352
54	375	355
55	364	356
56	361	354
57	364	351
58	369	354
59	367	359
60	356	351
61	360	350
62	366	356
63	369	353
64	364	351
65	363	355
66	359	354
67	370	351
68	369	351
69	367	356
70	368	353
71	365	353
72	367	355
73	360	353
74	365	351
75	361	352
76	359	353
77	356	349
78	358	353
79	361	350
80	362	351
81	368	357
82	367	353
83	366	353
84	361	350
85	361	352
86	372	355
87	362	352
88	357	350
89	358	353
90	362	353
91	370	350
92	359	354
93	361	352
94	360	357
95	362	354
96	365	349
97	365	354
98	366	354
99	361	356
