./instancias/texto_mas_parecido_15_500_1.txt#00:17:28#00:19:56
Iteración	Distancia Inicial	Distancia Obtenida
0	366	353
1	364	358
2	358	355
3	364	354
4	369	358
5	364	356
6	367	358
7	371	354
8	365	357
9	362	354
10	372	359
11	370	355
12	376	359
13	369	352
14	364	356
15	360	355
16	359	356
17	366	350
18	360	357
19	370	357
20	362	355
21	366	356
22	368	356
23	364	356
24	365	358
25	374	357
26	368	353
27	359	354
28	370	355
29	361	351
30	370	352
31	366	358
32	359	351
33	367	356
34	361	355
35	372	357
36	364	357
37	372	353
38	369	357
39	363	357
40	369	360
41	361	358
42	371	359
43	364	356
44	367	358
45	376	357
46	359	356
47	368	360
48	366	359
49	373	354
50	363	357
51	366	357
52	372	359
53	375	353
54	360	354
55	370	358
56	371	354
57	375	355
58	367	356
59	369	353
60	372	357
61	372	356
62	363	353
63	361	352
64	363	356
65	363	356
66	369	355
67	370	358
68	364	354
69	363	359
70	366	359
71	374	355
72	367	353
73	374	357
74	366	361
75	366	356
76	366	354
77	371	356
78	377	359
79	365	355
80	368	355
81	371	358
82	367	360
83	369	360
84	366	356
85	365	357
86	365	353
87	366	354
88	360	356
89	361	355
90	379	358
91	370	359
92	365	359
93	370	354
94	380	358
95	369	355
96	362	352
97	371	355
98	374	357
99	368	355
