./instancias/texto_mas_parecido_15_500_3.txt#01:24:04#01:26:49
Iteración	Distancia Inicial	Distancia Obtenida
0	362	355
1	369	355
2	353	350
3	363	354
4	356	350
5	361	352
6	369	357
7	363	355
8	363	353
9	355	346
10	367	353
11	365	351
12	370	355
13	363	356
14	368	351
15	365	355
16	368	350
17	375	349
18	373	357
19	359	348
20	360	351
21	359	352
22	355	349
23	361	351
24	372	347
25	362	355
26	363	350
27	358	351
28	365	352
29	369	353
30	362	353
31	361	351
32	357	352
33	366	354
34	372	353
35	363	352
36	365	349
37	364	354
38	358	351
39	357	351
40	360	353
41	365	354
42	361	356
43	367	355
44	365	355
45	364	353
46	358	350
47	366	353
48	363	349
49	370	356
50	367	355
51	369	355
52	372	353
53	367	348
54	373	359
55	358	353
56	364	350
57	357	353
58	365	354
59	361	355
60	378	356
61	363	350
62	362	356
63	362	352
64	369	352
65	360	351
66	366	353
67	363	348
68	367	355
69	365	352
70	368	358
71	368	352
72	358	349
73	364	352
74	372	354
75	367	355
76	359	354
77	362	350
78	366	349
79	359	353
80	363	353
81	358	352
82	364	352
83	365	352
84	365	354
85	358	351
86	358	356
87	362	352
88	368	351
89	357	355
90	362	353
91	362	352
92	359	350
93	359	351
94	365	350
95	360	357
96	367	358
97	371	360
98	358	355
99	364	354
