./instancias/texto_mas_parecido_15_500_1.txt#00:14:56#00:17:28
Iteración	Distancia Inicial	Distancia Obtenida
0	365	355
1	361	355
2	364	357
3	366	359
4	376	358
5	366	358
6	374	358
7	364	353
8	370	359
9	362	359
10	375	358
11	382	360
12	359	354
13	369	359
14	369	357
15	362	355
16	360	354
17	365	354
18	359	351
19	363	351
20	364	358
21	372	358
22	365	356
23	361	355
24	365	355
25	366	356
26	366	358
27	363	351
28	365	356
29	362	355
30	370	358
31	374	361
32	362	355
33	373	353
34	366	356
35	362	356
36	380	362
37	361	354
38	373	361
39	369	358
40	368	361
41	364	359
42	366	360
43	379	358
44	365	357
45	364	356
46	366	357
47	366	356
48	363	352
49	369	360
50	375	355
51	363	356
52	364	359
53	368	358
54	376	360
55	368	353
56	368	361
57	369	357
58	371	358
59	367	353
60	365	358
61	375	360
62	372	355
63	368	355
64	368	354
65	364	359
66	373	356
67	369	354
68	363	356
69	372	355
70	368	355
71	367	355
72	379	359
73	363	356
74	369	357
75	382	355
76	370	359
77	374	353
78	378	359
79	365	357
80	372	356
81	376	360
82	370	357
83	363	354
84	370	362
85	366	355
86	377	358
87	369	357
88	368	358
89	360	354
90	368	360
91	361	356
92	371	365
93	373	356
94	363	357
95	360	351
96	370	356
97	365	354
98	376	357
99	366	358
