./instancias/texto_mas_parecido_15_500_2.txt#00:48:37#00:51:20
Iteración	Distancia Inicial	Distancia Obtenida
0	367	358
1	365	352
2	364	354
3	367	358
4	360	353
5	363	358
6	367	355
7	375	354
8	362	355
9	362	351
10	364	356
11	374	357
12	364	356
13	367	357
14	363	353
15	363	353
16	358	354
17	370	354
18	364	350
19	362	353
20	363	353
21	368	351
22	373	357
23	371	357
24	366	358
25	367	355
26	367	353
27	370	356
28	379	356
29	362	350
30	369	356
31	362	354
32	367	354
33	362	354
34	362	352
35	365	353
36	377	356
37	365	353
38	366	354
39	362	359
40	368	354
41	355	349
42	365	358
43	370	354
44	370	356
45	370	353
46	375	357
47	362	351
48	371	350
49	377	357
50	359	353
51	372	351
52	373	356
53	361	354
54	375	353
55	364	359
56	365	352
57	372	355
58	363	353
59	364	357
60	366	355
61	365	359
62	366	356
63	377	354
64	370	355
65	372	360
66	364	353
67	364	354
68	364	355
69	357	354
70	371	359
71	367	356
72	369	357
73	367	358
74	366	353
75	371	356
76	369	359
77	363	352
78	365	351
79	367	354
80	368	356
81	371	355
82	360	354
83	367	355
84	358	352
85	356	354
86	365	356
87	364	351
88	372	352
89	368	354
90	359	351
91	368	355
92	360	349
93	356	350
94	371	351
95	360	354
96	370	363
97	366	361
98	371	355
99	365	354
