./instancias/texto_mas_parecido_10_300_3.txt#17:56:04#17:56:30
Iteración	Distancia Inicial	Distancia Obtenida
0	213	203
1	213	207
2	213	203
3	218	202
4	222	204
5	213	205
6	210	202
7	205	201
8	210	201
9	211	203
10	211	202
11	206	204
12	209	199
13	210	203
14	210	203
15	209	206
16	215	204
17	216	205
18	212	206
19	207	202
20	210	204
21	218	204
22	206	200
23	216	203
24	212	202
25	209	201
26	211	204
27	215	204
28	203	200
29	215	202
30	210	199
31	212	199
32	205	199
33	210	205
34	209	202
35	210	201
36	208	199
37	213	204
38	206	200
39	211	200
40	211	204
41	216	205
42	211	202
43	213	204
44	212	198
45	219	199
46	222	205
47	215	204
48	216	205
49	213	209
50	211	203
51	208	204
52	211	201
53	219	204
54	207	201
55	216	206
56	212	204
57	213	206
58	218	207
59	211	203
60	213	201
61	220	202
62	203	200
63	214	204
64	214	204
65	213	202
66	212	202
67	221	206
68	214	203
69	214	202
70	216	201
71	211	204
72	218	204
73	211	204
74	222	203
75	207	202
76	215	202
77	208	203
78	212	206
79	210	202
80	211	200
81	210	203
82	219	206
83	212	204
84	205	203
85	214	203
86	218	206
87	216	205
88	210	201
89	214	205
90	217	205
91	211	203
92	212	208
93	207	203
94	213	202
95	217	205
96	212	205
97	218	201
98	212	203
99	204	200
