./instancias/texto_mas_parecido_10_300_3.txt#17:56:35#17:57:01
Iteración	Distancia Inicial	Distancia Obtenida
0	206	203
1	212	204
2	212	201
3	211	200
4	209	203
5	207	201
6	213	202
7	206	203
8	213	203
9	211	201
10	217	207
11	222	202
12	217	204
13	208	204
14	218	203
15	217	200
16	215	202
17	207	202
18	210	203
19	215	203
20	211	206
21	212	205
22	210	203
23	210	206
24	217	206
25	208	203
26	210	205
27	219	203
28	216	206
29	210	203
30	208	198
31	216	205
32	213	206
33	210	202
34	217	207
35	207	202
36	221	207
37	211	200
38	207	202
39	220	204
40	217	202
41	207	204
42	213	201
43	211	204
44	219	205
45	214	205
46	210	205
47	217	204
48	211	203
49	215	200
50	209	201
51	212	204
52	213	205
53	211	204
54	209	203
55	211	203
56	217	202
57	209	202
58	208	204
59	208	201
60	210	203
61	215	203
62	213	204
63	213	209
64	209	200
65	213	204
66	210	204
67	210	204
68	206	203
69	212	206
70	210	200
71	208	204
72	222	209
73	214	206
74	211	198
75	211	201
76	213	205
77	217	207
78	208	202
79	213	206
80	208	202
81	213	203
82	213	206
83	213	203
84	211	204
85	210	201
86	211	203
87	210	202
88	213	202
89	220	204
90	217	202
91	209	202
92	215	202
93	216	204
94	220	203
95	213	204
96	209	203
97	217	204
98	208	202
99	209	201
