./instancias/texto_mas_parecido_10_300_2.txt#17:50:17#17:50:44
Iteración	Distancia Inicial	Distancia Obtenida
0	219	208
1	215	208
2	212	207
3	218	209
4	214	206
5	214	204
6	211	208
7	210	208
8	207	202
9	215	204
10	213	206
11	221	206
12	217	212
13	220	205
14	220	210
15	215	208
16	218	211
17	219	212
18	213	208
19	216	209
20	221	208
21	219	206
22	214	207
23	218	208
24	214	206
25	218	207
26	216	210
27	218	204
28	218	211
29	208	204
30	215	205
31	219	207
32	213	210
33	214	206
34	219	210
35	211	204
36	219	210
37	209	203
38	224	211
39	213	208
40	217	209
41	214	210
42	214	207
43	222	207
44	216	213
45	230	205
46	220	206
47	221	207
48	221	208
49	213	207
50	209	205
51	221	209
52	217	209
53	212	207
54	222	208
55	215	208
56	216	205
57	220	208
58	213	208
59	218	209
60	215	209
61	227	210
62	210	206
63	216	207
64	217	209
65	220	212
66	213	209
67	219	210
68	217	207
69	228	209
70	212	205
71	214	207
72	210	205
73	212	206
74	215	205
75	219	207
76	214	207
77	209	206
78	217	207
79	217	205
80	215	207
81	218	208
82	212	205
83	214	207
84	214	207
85	224	207
86	213	209
87	213	206
88	217	210
89	211	206
90	227	211
91	214	208
92	217	207
93	214	206
94	219	211
95	218	210
96	214	207
97	225	205
98	210	206
99	221	205
