./instancias/texto_mas_parecido_10_300_2.txt#17:44:54#17:45:20
Iteración	Distancia Inicial	Distancia Obtenida
0	218	208
1	220	207
2	215	205
3	214	208
4	221	206
5	211	205
6	219	206
7	218	206
8	210	204
9	220	208
10	213	206
11	219	205
12	213	208
13	217	210
14	212	206
15	214	205
16	218	209
17	220	210
18	216	207
19	219	209
20	219	208
21	218	207
22	218	210
23	216	205
24	214	208
25	216	208
26	209	206
27	222	205
28	215	208
29	218	209
30	208	203
31	214	206
32	211	206
33	222	207
34	209	207
35	217	209
36	218	211
37	217	208
38	221	208
39	216	204
40	218	207
41	216	209
42	225	207
43	210	206
44	214	207
45	215	209
46	213	205
47	217	206
48	219	208
49	213	206
50	212	208
51	218	209
52	216	207
53	215	205
54	213	204
55	215	211
56	220	207
57	217	208
58	214	207
59	212	206
60	216	210
61	215	209
62	222	209
63	211	205
64	215	207
65	220	212
66	218	211
67	215	205
68	216	211
69	212	205
70	216	206
71	215	207
72	222	208
73	224	207
74	219	209
75	210	206
76	218	207
77	219	203
78	216	207
79	215	204
80	211	207
81	213	209
82	216	206
83	214	203
84	212	209
85	224	210
86	221	205
87	217	210
88	212	207
89	233	208
90	217	206
91	216	209
92	211	209
93	212	207
94	217	208
95	214	206
96	214	208
97	213	205
98	213	207
99	208	207
