./instancias/texto_mas_parecido_10_300_3.txt#17:55:03#17:55:31
Iteración	Distancia Inicial	Distancia Obtenida
0	211	200
1	211	202
2	205	200
3	216	200
4	211	205
5	219	207
6	225	205
7	224	202
8	208	200
9	213	202
10	211	206
11	206	204
12	210	200
13	215	206
14	220	204
15	213	204
16	211	200
17	224	203
18	214	202
19	223	208
20	206	202
21	211	204
22	212	206
23	210	201
24	213	203
25	215	203
26	216	204
27	218	203
28	214	209
29	208	200
30	213	205
31	219	204
32	216	203
33	212	201
34	211	200
35	211	206
36	205	200
37	209	202
38	204	201
39	216	205
40	213	202
41	208	202
42	211	204
43	217	206
44	207	203
45	214	203
46	207	201
47	212	201
48	210	204
49	212	200
50	213	203
51	210	201
52	210	202
53	209	205
54	218	202
55	203	201
56	206	202
57	217	199
58	216	207
59	211	203
60	208	202
61	217	202
62	211	207
63	215	203
64	214	203
65	203	200
66	207	203
67	215	203
68	216	209
69	216	204
70	210	199
71	218	206
72	208	199
73	209	204
74	215	206
75	227	205
76	206	203
77	207	203
78	216	204
79	209	202
80	210	204
81	210	202
82	208	203
83	221	206
84	212	205
85	211	209
86	215	207
87	217	205
88	215	204
89	212	202
90	211	199
91	219	205
92	210	204
93	210	202
94	212	202
95	211	200
96	221	205
97	209	198
98	217	200
99	210	203
