./instancias/texto_mas_parecido_10_300_2.txt#17:51:45#17:52:13
Iteración	Distancia Inicial	Distancia Obtenida
0	217	207
1	216	207
2	212	205
3	214	207
4	213	206
5	214	208
6	222	208
7	220	210
8	211	206
9	214	205
10	219	210
11	230	209
12	229	208
13	222	207
14	220	207
15	215	207
16	219	205
17	215	208
18	218	203
19	214	206
20	211	210
21	214	211
22	223	209
23	227	205
24	212	203
25	224	213
26	215	208
27	213	210
28	212	205
29	219	206
30	223	206
31	212	207
32	217	208
33	221	206
34	215	207
35	213	208
36	213	209
37	213	205
38	217	209
39	215	209
40	214	210
41	216	208
42	214	208
43	214	208
44	214	207
45	214	207
46	214	208
47	214	206
48	212	210
49	211	206
50	219	209
51	213	206
52	220	208
53	216	211
54	214	208
55	215	206
56	219	205
57	219	210
58	218	210
59	217	206
60	212	209
61	216	206
62	216	208
63	217	209
64	216	209
65	211	207
66	222	208
67	212	208
68	217	206
69	223	209
70	217	209
71	210	207
72	215	211
73	222	207
74	220	208
75	216	207
76	224	211
77	221	208
78	214	209
79	217	206
80	217	208
81	220	206
82	218	208
83	216	207
84	214	208
85	221	210
86	213	206
87	212	208
88	211	207
89	223	204
90	212	204
91	219	210
92	223	209
93	217	207
94	226	208
95	214	207
96	223	213
97	215	208
98	216	205
99	208	204
