./instancias/texto_mas_parecido_10_300_2.txt#17:51:15#17:51:42
Iteración	Distancia Inicial	Distancia Obtenida
0	223	209
1	207	204
2	224	207
3	213	207
4	210	203
5	216	206
6	211	208
7	219	209
8	214	208
9	215	210
10	221	209
11	213	206
12	215	203
13	213	206
14	214	204
15	213	204
16	213	207
17	212	203
18	220	207
19	217	210
20	216	206
21	210	207
22	208	205
23	213	206
24	214	208
25	213	205
26	213	207
27	220	205
28	215	210
29	218	209
30	213	210
31	222	211
32	215	210
33	208	203
34	216	209
35	220	208
36	214	210
37	218	210
38	223	208
39	219	210
40	212	204
41	224	204
42	210	204
43	215	207
44	219	206
45	215	206
46	217	205
47	214	207
48	211	208
49	216	209
50	218	206
51	209	205
52	213	207
53	218	210
54	223	208
55	207	205
56	214	208
57	218	205
58	220	206
59	214	204
60	214	206
61	214	209
62	212	205
63	217	211
64	215	208
65	212	209
66	217	207
67	211	206
68	213	207
69	218	211
70	217	206
71	216	206
72	219	205
73	212	204
74	216	208
75	209	205
76	215	208
77	213	209
78	216	208
79	225	206
80	226	210
81	222	203
82	216	207
83	212	207
84	214	208
85	215	204
86	217	209
87	213	205
88	217	209
89	217	210
90	218	206
91	219	205
92	212	207
93	218	208
94	216	209
95	213	207
96	219	206
97	220	208
98	213	205
99	211	208
