./instancias/texto_mas_parecido_10_300_2.txt#17:50:46#17:51:12
Iteración	Distancia Inicial	Distancia Obtenida
0	216	209
1	214	210
2	213	207
3	212	206
4	220	209
5	222	206
6	214	207
7	214	209
8	210	205
9	218	208
10	222	209
11	219	209
12	219	209
13	208	203
14	220	206
15	218	211
16	213	206
17	217	208
18	224	207
19	222	210
20	224	209
21	216	206
22	218	211
23	214	207
24	219	208
25	218	206
26	220	208
27	216	203
28	213	204
29	215	209
30	211	206
31	219	209
32	216	208
33	215	206
34	213	208
35	208	206
36	214	208
37	214	208
38	216	206
39	218	204
40	216	208
41	215	208
42	209	208
43	216	211
44	221	206
45	209	206
46	217	209
47	224	207
48	214	209
49	219	207
50	217	205
51	215	205
52	214	207
53	211	207
54	217	204
55	218	208
56	217	207
57	211	205
58	216	211
59	211	207
60	214	206
61	210	203
62	213	208
63	217	206
64	212	204
65	219	208
66	213	209
67	212	207
68	218	210
69	221	207
70	218	206
71	215	209
72	222	208
73	210	206
74	220	208
75	209	208
76	213	207
77	226	211
78	224	214
79	214	211
80	214	207
81	214	207
82	217	209
83	209	204
84	216	204
85	218	207
86	215	208
87	216	209
88	212	204
89	212	208
90	216	210
91	216	207
92	220	205
93	220	207
94	223	209
95	220	209
96	224	211
97	217	210
98	227	214
99	221	207
