./instancias/texto_mas_parecido_10_700_3.txt#19:51:19#19:54:08
Iteración	Distancia Inicial	Distancia Obtenida
0	486	478
1	498	485
2	499	478
3	499	477
4	491	481
5	484	477
6	483	470
7	493	479
8	498	479
9	493	478
10	494	487
11	495	482
12	484	479
13	499	482
14	487	475
15	497	479
16	499	476
17	477	473
18	501	481
19	496	479
20	497	479
21	505	478
22	485	478
23	487	475
24	489	477
25	487	477
26	491	478
27	491	478
28	502	479
29	491	474
30	500	477
31	496	476
32	483	480
33	484	479
34	511	485
35	503	480
36	500	482
37	493	475
38	494	481
39	496	480
40	497	481
41	497	480
42	503	470
43	501	476
44	491	475
45	488	477
46	488	478
47	493	480
48	500	484
49	493	481
50	496	479
51	488	480
52	480	475
53	484	477
54	488	477
55	503	480
56	499	484
57	495	478
58	493	484
59	491	482
60	491	477
61	494	477
62	491	475
63	481	475
64	495	478
65	496	479
66	488	477
67	489	476
68	484	475
69	497	470
70	493	482
71	489	474
72	505	480
73	499	477
74	503	477
75	499	477
76	494	477
77	488	475
78	497	479
79	506	484
80	484	476
81	498	479
82	493	483
83	496	483
84	491	480
85	497	479
86	493	481
87	495	482
88	504	476
89	492	480
90	492	473
91	480	475
92	498	476
93	502	483
94	508	480
95	491	481
96	488	477
97	504	482
98	496	471
99	487	478
