./instancias/texto_mas_parecido_10_700_1.txt#18:55:22#18:58:04
Iteración	Distancia Inicial	Distancia Obtenida
0	496	476
1	502	476
2	497	479
3	484	474
4	489	473
5	489	472
6	488	473
7	482	470
8	485	472
9	491	476
10	493	474
11	493	470
12	487	475
13	481	468
14	482	474
15	489	473
16	479	469
17	497	476
18	482	468
19	476	471
20	486	473
21	489	470
22	492	472
23	501	471
24	491	476
25	477	466
26	489	471
27	490	474
28	487	471
29	488	470
30	485	472
31	489	470
32	488	476
33	489	471
34	501	476
35	479	469
36	494	475
37	481	475
38	483	474
39	481	477
40	505	482
41	498	473
42	500	475
43	483	469
44	488	477
45	484	473
46	479	475
47	478	471
48	489	469
49	484	467
50	478	467
51	480	476
52	506	465
53	495	474
54	491	475
55	488	472
56	481	472
57	477	468
58	494	479
59	486	472
60	485	476
61	498	475
62	484	473
63	484	475
64	492	475
65	480	470
66	484	473
67	489	473
68	486	481
69	486	477
70	480	469
71	489	471
72	495	469
73	487	472
74	498	476
75	491	468
76	501	473
77	494	473
78	479	469
79	486	477
80	488	471
81	485	469
82	482	469
83	485	473
84	505	476
85	503	474
86	497	472
87	497	472
88	493	475
89	492	474
90	480	470
91	485	474
92	480	474
93	487	472
94	478	465
95	486	473
96	491	472
97	486	475
98	485	474
99	481	471
