./instancias/texto_mas_parecido_10_700_2.txt#19:23:54#19:26:22
Iteración	Distancia Inicial	Distancia Obtenida
0	488	476
1	495	480
2	496	484
3	494	478
4	501	485
5	490	479
6	490	482
7	483	476
8	506	479
9	490	477
10	501	487
11	488	482
12	514	480
13	484	476
14	492	481
15	498	481
16	487	476
17	495	483
18	500	478
19	492	480
20	510	476
21	498	472
22	493	472
23	486	478
24	488	481
25	491	478
26	492	484
27	498	483
28	497	480
29	492	477
30	501	480
31	490	473
32	489	472
33	502	482
34	496	473
35	492	482
36	498	478
37	492	481
38	496	478
39	484	479
40	488	482
41	487	479
42	488	480
43	496	482
44	488	481
45	486	476
46	495	476
47	484	477
48	485	477
49	487	479
50	500	478
51	493	476
52	501	479
53	501	483
54	489	474
55	481	479
56	496	485
57	500	482
58	491	482
59	484	478
60	501	487
61	494	484
62	501	479
63	504	480
64	501	478
65	490	482
66	513	486
67	494	479
68	496	479
69	491	476
70	495	477
71	495	480
72	491	476
73	491	476
74	490	477
75	483	478
76	498	482
77	488	479
78	487	476
79	505	479
80	482	478
81	491	476
82	487	475
83	494	483
84	499	478
85	494	481
86	501	478
87	486	478
88	493	477
89	490	475
90	490	479
91	494	478
92	479	473
93	500	478
94	493	486
95	491	478
96	492	487
97	498	485
98	486	476
99	506	474
