./instancias/texto_mas_parecido_10_700_1.txt#18:49:42#18:52:31
Iteración	Distancia Inicial	Distancia Obtenida
0	490	471
1	482	473
2	487	472
3	486	475
4	484	476
5	486	471
6	490	476
7	494	479
8	492	473
9	484	474
10	485	478
11	486	475
12	495	473
13	491	477
14	474	467
15	492	472
16	481	471
17	489	475
18	490	470
19	492	473
20	480	475
21	481	472
22	491	474
23	495	468
24	500	478
25	493	476
26	490	480
27	486	474
28	485	473
29	493	474
30	479	471
31	488	470
32	513	473
33	492	475
34	488	475
35	492	475
36	489	478
37	493	473
38	502	473
39	492	479
40	485	470
41	488	474
42	483	469
43	483	470
44	491	474
45	488	472
46	478	472
47	492	471
48	488	474
49	489	476
50	491	471
51	487	477
52	492	470
53	486	471
54	487	466
55	482	475
56	487	474
57	484	479
58	480	471
59	504	474
60	485	473
61	488	475
62	500	481
63	497	475
64	482	473
65	489	473
66	483	470
67	476	462
68	496	477
69	489	468
70	480	474
71	482	473
72	495	471
73	481	475
74	488	469
75	489	477
76	493	477
77	499	480
78	491	472
79	485	473
80	476	471
81	500	472
82	495	468
83	491	474
84	500	481
85	492	469
86	498	479
87	499	471
88	488	467
89	489	471
90	483	471
91	484	475
92	485	478
93	485	467
94	489	474
95	489	471
96	490	473
97	484	477
98	482	471
99	486	477
