./instancias/texto_mas_parecido_10_700_2.txt#19:18:21#19:20:57
Iteración	Distancia Inicial	Distancia Obtenida
0	479	475
1	491	479
2	492	478
3	490	481
4	481	475
5	509	482
6	498	478
7	497	482
8	504	484
9	497	479
10	491	479
11	494	472
12	482	475
13	506	480
14	492	483
15	491	480
16	499	482
17	493	478
18	487	481
19	514	475
20	494	483
21	496	479
22	495	485
23	494	479
24	488	476
25	495	479
26	490	481
27	500	475
28	500	482
29	485	475
30	492	478
31	498	478
32	494	478
33	496	474
34	495	475
35	488	477
36	496	477
37	494	476
38	494	480
39	495	483
40	489	476
41	496	477
42	507	477
43	495	483
44	498	480
45	488	481
46	488	478
47	489	475
48	492	482
49	502	480
50	494	476
51	486	475
52	482	476
53	493	480
54	502	485
55	504	476
56	490	485
57	498	481
58	498	483
59	494	481
60	495	480
61	499	484
62	492	474
63	497	478
64	504	473
65	485	476
66	492	477
67	500	483
68	486	474
69	502	483
70	501	479
71	496	478
72	501	480
73	496	486
74	493	477
75	494	479
76	492	483
77	495	483
78	500	483
79	491	476
80	498	484
81	490	481
82	507	484
83	488	481
84	497	477
85	499	481
86	491	474
87	491	477
88	491	480
89	496	487
90	493	479
91	487	475
92	492	477
93	495	484
94	484	474
95	492	474
96	487	481
97	495	480
98	492	479
99	492	482
