./instancias/texto_mas_parecido_10_700_3.txt#20:07:39#20:10:16
Iteración	Distancia Inicial	Distancia Obtenida
0	486	473
1	495	474
2	493	474
3	487	482
4	492	479
5	493	479
6	497	479
7	490	477
8	495	477
9	499	475
10	505	482
11	491	479
12	491	477
13	485	480
14	495	478
15	488	478
16	489	483
17	493	479
18	486	475
19	492	480
20	496	483
21	502	479
22	489	477
23	497	472
24	493	474
25	489	476
26	500	475
27	505	484
28	487	479
29	483	478
30	488	481
31	493	478
32	488	482
33	498	480
34	497	478
35	498	475
36	492	480
37	506	478
38	491	480
39	498	479
40	495	474
41	498	477
42	486	475
43	484	472
44	485	479
45	490	478
46	487	474
47	489	480
48	486	475
49	485	476
50	491	482
51	490	477
52	500	478
53	497	470
54	496	480
55	496	477
56	502	477
57	500	475
58	496	476
59	505	478
60	488	476
61	497	473
62	494	477
63	490	479
64	488	479
65	502	478
66	483	476
67	490	478
68	486	479
69	488	476
70	496	480
71	482	475
72	489	481
73	495	476
74	493	474
75	497	478
76	485	479
77	490	479
78	493	476
79	491	483
80	487	477
81	489	476
82	487	476
83	494	479
84	485	480
85	507	479
86	495	478
87	488	478
88	489	477
89	492	477
90	504	482
91	506	482
92	490	480
93	494	481
94	492	477
95	486	479
96	493	479
97	490	476
98	489	477
99	488	476
