./instancias/texto_mas_parecido_10_700_3.txt#19:48:35#19:51:19
Iteración	Distancia Inicial	Distancia Obtenida
0	501	481
1	488	479
2	500	480
3	490	482
4	498	474
5	496	478
6	493	474
7	500	479
8	499	486
9	495	473
10	496	478
11	498	475
12	497	486
13	498	478
14	483	477
15	490	477
16	484	475
17	491	481
18	487	477
19	496	476
20	503	488
21	492	482
22	498	478
23	499	481
24	486	475
25	495	480
26	496	479
27	502	487
28	497	482
29	495	483
30	488	476
31	508	477
32	491	475
33	488	479
34	480	477
35	490	474
36	490	478
37	493	475
38	502	479
39	501	480
40	489	477
41	520	487
42	495	481
43	492	484
44	491	481
45	495	478
46	495	485
47	496	481
48	492	479
49	482	477
50	491	477
51	490	476
52	496	480
53	492	478
54	495	481
55	481	475
56	492	478
57	492	479
58	494	483
59	505	483
60	494	476
61	499	486
62	490	476
63	502	483
64	490	475
65	501	476
66	487	479
67	496	480
68	485	475
69	488	480
70	499	478
71	491	481
72	491	476
73	520	482
74	494	477
75	501	480
76	484	477
77	497	477
78	505	479
79	488	479
80	488	477
81	489	472
82	483	475
83	485	476
84	488	477
85	495	482
86	488	478
87	487	477
88	487	475
89	499	481
90	500	483
91	498	482
92	488	478
93	490	475
94	492	477
95	503	480
96	499	472
97	499	483
98	485	478
99	488	479
