./instancias/texto_mas_parecido_20_500_3.txt#16:06:50#16:11:24
Iteración	Distancia Inicial	Distancia Obtenida
0	368	365
1	381	360
2	371	360
3	370	356
4	367	361
5	388	367
6	370	357
7	370	360
8	375	363
9	374	362
10	369	355
11	371	357
12	367	364
13	373	362
14	375	359
15	367	360
16	375	360
17	380	365
18	374	363
19	370	362
20	370	362
21	371	363
22	365	361
23	370	363
24	373	360
25	370	360
26	372	361
27	370	362
28	372	363
29	369	364
30	374	362
31	369	358
32	375	360
33	374	363
34	372	359
35	379	362
36	371	363
37	372	362
38	362	357
39	367	361
40	374	362
41	367	361
42	373	358
43	365	357
44	367	361
45	368	359
46	369	364
47	378	361
48	377	361
49	380	358
50	368	363
51	369	361
52	370	356
53	376	364
54	370	361
55	371	361
56	371	361
57	366	360
58	377	361
59	374	362
60	367	361
61	372	365
62	377	360
63	371	359
64	363	356
65	368	358
66	364	359
67	365	361
68	364	361
69	373	362
70	376	361
71	377	364
72	369	362
73	374	364
74	371	365
75	372	362
76	369	361
77	367	360
78	372	365
79	363	354
80	375	365
81	372	362
82	370	361
83	375	366
84	375	360
85	372	365
86	373	361
87	374	362
88	362	361
89	372	358
90	373	362
91	367	359
92	373	365
93	372	359
94	370	363
95	369	364
96	372	358
97	370	365
98	368	362
99	368	361
