./instancias/texto_mas_parecido_20_500_1.txt#18:19:15#18:23:58
Iteración	Distancia Inicial	Distancia Obtenida
0	376	364
1	375	366
2	376	364
3	378	365
4	368	361
5	371	364
6	379	362
7	370	362
8	372	364
9	370	361
10	378	365
11	375	366
12	379	360
13	372	364
14	376	366
15	375	365
16	369	361
17	379	368
18	369	361
19	375	363
20	369	366
21	373	367
22	375	362
23	370	365
24	370	360
25	373	363
26	380	366
27	384	365
28	369	365
29	377	368
30	368	364
31	371	362
32	372	364
33	377	366
34	373	362
35	372	363
36	370	362
37	377	369
38	381	361
39	365	359
40	374	362
41	378	367
42	374	364
43	375	367
44	374	366
45	369	362
46	372	364
47	372	363
48	367	362
49	369	362
50	372	363
51	369	362
52	365	359
53	381	358
54	373	361
55	371	363
56	379	367
57	375	363
58	373	363
59	372	364
60	377	366
61	375	360
62	369	362
63	373	363
64	379	369
65	369	363
66	370	361
67	370	363
68	374	365
69	391	366
70	372	365
71	366	361
72	364	361
73	373	368
74	379	366
75	373	363
76	375	361
77	371	361
78	373	364
79	375	361
80	370	364
81	376	367
82	384	362
83	386	367
84	372	363
85	377	366
86	376	364
87	374	364
88	371	363
89	374	367
90	370	361
91	368	362
92	374	366
93	374	364
94	376	364
95	375	362
96	371	365
97	371	362
98	377	367
99	380	366
