./instancias/texto_mas_parecido_20_500_1.txt#18:08:49#18:14:02
Iteración	Distancia Inicial	Distancia Obtenida
0	386	367
1	373	363
2	368	367
3	375	366
4	373	362
5	372	363
6	366	361
7	377	360
8	369	364
9	379	365
10	372	364
11	375	363
12	371	362
13	374	363
14	376	366
15	369	361
16	378	365
17	374	369
18	373	361
19	378	361
20	377	363
21	368	363
22	374	361
23	383	364
24	374	362
25	381	372
26	370	362
27	378	366
28	372	364
29	371	361
30	373	362
31	371	363
32	375	362
33	373	362
34	378	362
35	372	363
36	382	361
37	371	365
38	379	368
39	380	365
40	366	364
41	370	361
42	382	363
43	379	365
44	365	359
45	375	363
46	379	364
47	382	368
48	371	363
49	372	361
50	379	368
51	370	364
52	373	365
53	377	366
54	375	367
55	376	365
56	373	366
57	373	367
58	374	364
59	384	363
60	375	365
61	383	366
62	370	362
63	370	359
64	372	362
65	377	363
66	369	362
67	377	363
68	376	367
69	375	365
70	375	367
71	376	365
72	388	367
73	376	370
74	383	365
75	370	364
76	371	362
77	373	364
78	370	362
79	369	359
80	375	365
81	374	364
82	380	362
83	371	361
84	382	363
85	376	367
86	372	362
87	373	364
88	383	363
89	367	362
90	372	361
91	368	361
92	368	360
93	380	362
94	374	360
95	376	371
96	380	369
97	372	364
98	373	361
99	371	363
