./instancias/texto_mas_parecido_20_500_1.txt#17:33:13#17:38:53
Iteración	Distancia Inicial	Distancia Obtenida
0	373	365
1	378	362
2	379	367
3	383	360
4	377	367
5	390	364
6	379	362
7	370	364
8	369	365
9	384	368
10	369	362
11	375	358
12	375	365
13	368	362
14	373	361
15	374	366
16	370	363
17	373	364
18	373	361
19	374	366
20	368	360
21	377	361
22	373	364
23	371	364
24	376	366
25	374	370
26	376	366
27	376	368
28	371	364
29	380	370
30	376	366
31	373	364
32	366	364
33	375	364
34	378	363
35	367	359
36	372	365
37	368	363
38	378	359
39	375	368
40	377	364
41	366	361
42	383	360
43	374	365
44	380	364
45	375	367
46	373	365
47	372	367
48	379	369
49	372	366
50	376	365
51	377	365
52	368	360
53	368	364
54	380	365
55	368	363
56	376	365
57	381	363
58	375	362
59	367	361
60	372	365
61	370	365
62	371	363
63	373	363
64	368	361
65	371	368
66	376	361
67	374	363
68	373	364
69	378	363
70	384	364
71	383	365
72	374	362
73	376	366
74	377	363
75	382	370
76	378	360
77	377	362
78	371	363
79	375	369
80	374	363
81	380	367
82	375	365
83	372	364
84	376	365
85	378	364
86	388	364
87	372	364
88	390	364
89	373	362
90	365	361
91	389	365
92	375	367
93	377	361
94	377	366
95	380	365
96	375	368
97	370	365
98	367	361
99	377	364
