./instancias/texto_mas_parecido_15_300_3.txt#00:04:26#00:05:17
Iteración	Distancia Inicial	Distancia Obtenida
0	231	222
1	223	216
2	219	214
3	222	216
4	227	218
5	231	222
6	222	218
7	218	214
8	232	216
9	222	215
10	225	216
11	218	217
12	227	214
13	221	215
14	220	218
15	226	218
16	224	218
17	223	214
18	231	220
19	225	215
20	220	215
21	230	219
22	228	216
23	226	221
24	222	215
25	226	218
26	227	217
27	229	219
28	223	216
29	225	217
30	221	212
31	231	219
32	225	217
33	220	215
34	225	218
35	223	215
36	221	214
37	230	217
38	226	221
39	221	216
40	224	215
41	228	217
42	228	215
43	226	217
44	223	219
45	221	216
46	223	218
47	219	215
48	232	222
49	224	218
50	224	215
51	228	215
52	222	218
53	221	214
54	232	214
55	221	215
56	219	215
57	226	215
58	226	216
59	234	217
60	225	217
61	223	216
62	231	214
63	226	220
64	227	220
65	223	216
66	224	218
67	222	214
68	223	214
69	231	216
70	224	217
71	221	215
72	224	218
73	221	215
74	222	216
75	232	215
76	223	217
77	229	214
78	231	217
79	216	214
80	226	216
81	227	217
82	228	216
83	227	219
84	228	218
85	228	217
86	224	214
87	232	220
88	222	215
89	232	216
90	226	217
91	226	215
92	227	217
93	226	215
94	218	213
95	235	216
96	222	217
97	221	217
98	220	214
99	227	220
