./instancias/texto_mas_parecido_15_300_2.txt#23:45:33#23:46:26
Iteración	Distancia Inicial	Distancia Obtenida
0	233	216
1	221	213
2	237	213
3	217	215
4	220	215
5	220	214
6	227	215
7	223	217
8	229	218
9	224	213
10	216	213
11	220	215
12	232	216
13	221	214
14	223	215
15	219	213
16	223	214
17	217	212
18	224	214
19	227	218
20	220	215
21	223	211
22	226	212
23	217	212
24	220	214
25	221	217
26	221	212
27	219	213
28	223	216
29	221	212
30	227	217
31	221	213
32	218	213
33	217	215
34	220	215
35	225	215
36	231	216
37	224	216
38	221	213
39	216	211
40	219	214
41	223	215
42	228	217
43	219	210
44	224	214
45	220	215
46	219	217
47	218	213
48	229	214
49	221	214
50	223	217
51	226	213
52	222	213
53	224	216
54	221	214
55	222	213
56	225	216
57	218	211
58	219	214
59	221	212
60	224	214
61	223	215
62	233	214
63	233	215
64	219	212
65	219	214
66	219	214
67	225	217
68	228	214
69	222	216
70	222	215
71	231	213
72	229	217
73	228	214
74	224	217
75	222	210
76	224	216
77	222	217
78	221	215
79	226	213
80	225	213
81	223	211
82	219	215
83	219	212
84	216	213
85	221	213
86	224	216
87	231	214
88	217	212
89	221	216
90	219	211
91	226	215
92	223	215
93	218	214
94	216	211
95	216	212
96	229	215
97	230	216
98	221	215
99	223	214
