./instancias/texto_mas_parecido_15_300_2.txt#23:49:59#23:50:48
Iteración	Distancia Inicial	Distancia Obtenida
0	216	213
1	222	215
2	224	217
3	227	218
4	221	214
5	224	215
6	222	216
7	221	215
8	217	211
9	218	215
10	219	215
11	227	214
12	213	210
13	221	212
14	226	213
15	219	215
16	221	215
17	222	214
18	229	217
19	219	212
20	228	215
21	220	215
22	219	212
23	221	214
24	220	216
25	222	216
26	215	212
27	225	217
28	220	212
29	223	213
30	223	213
31	221	214
32	223	215
33	224	216
34	216	216
35	226	216
36	214	211
37	224	214
38	223	211
39	228	216
40	219	213
41	221	216
42	223	218
43	222	214
44	224	216
45	223	215
46	223	217
47	225	214
48	214	211
49	223	215
50	219	214
51	225	214
52	222	214
53	224	215
54	227	214
55	221	213
56	214	213
57	214	212
58	223	212
59	218	215
60	225	211
61	219	213
62	220	212
63	225	212
64	224	214
65	221	213
66	223	218
67	225	215
68	221	216
69	226	210
70	225	215
71	221	213
72	225	215
73	220	213
74	218	208
75	217	211
76	223	216
77	222	213
78	220	212
79	220	213
80	220	215
81	224	212
82	218	211
83	225	215
84	221	217
85	218	211
86	219	217
87	214	212
88	218	216
89	217	213
90	221	213
91	220	212
92	217	214
93	224	215
94	219	212
95	225	215
96	225	215
97	220	212
98	223	214
99	223	214
