./instancias/texto_mas_parecido_15_300_3.txt#00:05:17#00:06:13
Iteración	Distancia Inicial	Distancia Obtenida
0	229	216
1	227	215
2	225	216
3	228	217
4	220	214
5	234	219
6	231	214
7	223	216
8	227	216
9	224	217
10	225	216
11	225	214
12	221	215
13	220	217
14	229	216
15	221	217
16	222	217
17	224	215
18	215	211
19	225	216
20	221	215
21	225	221
22	220	215
23	220	217
24	223	214
25	222	215
26	226	217
27	221	213
28	218	213
29	230	215
30	222	219
31	227	219
32	218	211
33	230	215
34	218	215
35	220	214
36	226	217
37	231	216
38	224	219
39	224	218
40	221	216
41	219	215
42	223	216
43	222	218
44	227	217
45	229	217
46	220	215
47	221	214
48	221	216
49	228	217
50	223	213
51	231	219
52	218	213
53	222	218
54	224	212
55	219	216
56	222	214
57	227	217
58	222	211
59	221	216
60	229	219
61	227	216
62	223	215
63	223	214
64	227	217
65	221	216
66	227	216
67	226	217
68	226	216
69	225	219
70	225	221
71	228	215
72	223	218
73	232	217
74	225	216
75	224	216
76	221	213
77	231	218
78	223	220
79	230	216
80	221	213
81	218	216
82	228	216
83	224	217
84	226	216
85	228	218
86	224	218
87	231	215
88	222	214
89	223	217
90	227	214
91	221	216
92	223	214
93	226	218
94	228	218
95	222	216
96	224	216
97	219	216
98	224	214
99	226	219
