./instancias/texto_mas_parecido_15_300_2.txt#23:53:29#23:54:23
Iteración	Distancia Inicial	Distancia Obtenida
0	225	213
1	224	215
2	227	216
3	221	212
4	222	213
5	222	213
6	219	215
7	223	211
8	224	214
9	223	214
10	221	212
11	222	214
12	221	215
13	219	213
14	221	211
15	219	214
16	226	216
17	223	216
18	229	216
19	219	213
20	220	213
21	218	215
22	223	216
23	224	217
24	225	216
25	222	214
26	233	213
27	223	212
28	226	216
29	223	216
30	228	215
31	224	217
32	220	216
33	221	212
34	220	218
35	218	213
36	219	214
37	225	217
38	218	213
39	223	213
40	221	214
41	226	214
42	218	212
43	225	212
44	219	216
45	226	215
46	225	215
47	218	213
48	217	210
49	218	215
50	227	214
51	218	213
52	224	216
53	216	211
54	217	213
55	217	212
56	221	214
57	224	218
58	226	210
59	220	216
60	222	214
61	218	214
62	229	215
63	217	214
64	217	213
65	226	214
66	218	215
67	230	214
68	225	214
69	222	213
70	220	214
71	220	211
72	223	213
73	218	211
74	234	215
75	218	216
76	216	213
77	221	213
78	218	212
79	223	216
80	224	215
81	217	209
82	220	213
83	217	211
84	222	214
85	223	214
86	221	216
87	225	214
88	219	216
89	217	212
90	221	216
91	224	214
92	215	212
93	215	208
94	220	214
95	225	215
96	219	215
97	218	212
98	228	212
99	226	214
