./instancias/texto_mas_parecido_15_300_2.txt#23:46:26#23:47:17
Iteración	Distancia Inicial	Distancia Obtenida
0	217	212
1	228	214
2	228	215
3	226	211
4	215	209
5	221	215
6	224	217
7	219	214
8	216	213
9	222	214
10	215	213
11	235	217
12	223	215
13	219	212
14	218	212
15	216	212
16	218	214
17	221	211
18	219	214
19	225	213
20	231	215
21	225	216
22	227	216
23	231	219
24	219	214
25	221	210
26	217	212
27	226	216
28	224	216
29	216	214
30	219	215
31	217	212
32	218	214
33	218	214
34	219	216
35	219	213
36	218	214
37	218	216
38	222	216
39	218	210
40	220	213
41	222	214
42	222	214
43	222	216
44	218	212
45	222	214
46	217	212
47	225	215
48	221	215
49	220	213
50	227	217
51	225	214
52	223	211
53	225	211
54	221	214
55	218	216
56	224	217
57	223	211
58	216	215
59	217	213
60	220	213
61	220	212
62	219	213
63	227	221
64	219	214
65	222	214
66	234	215
67	220	211
68	225	216
69	232	217
70	226	212
71	222	216
72	236	215
73	221	211
74	228	213
75	222	213
76	216	212
77	218	213
78	224	215
79	226	213
80	223	214
81	222	214
82	221	216
83	224	215
84	220	212
85	217	213
86	219	212
87	225	214
88	223	216
89	223	215
90	225	213
91	225	215
92	226	216
93	221	214
94	216	212
95	226	213
96	222	215
97	217	212
98	220	213
99	229	216
