./instancias/texto_mas_parecido_15_700_3.txt#20:15:22#20:21:04
Iteración	Distancia Inicial	Distancia Obtenida
0	513	499
1	503	490
2	506	491
3	508	493
4	500	496
5	496	490
6	511	494
7	511	500
8	511	496
9	519	494
10	532	493
11	522	497
12	510	495
13	513	495
14	506	492
15	504	492
16	502	494
17	512	499
18	501	493
19	503	492
20	506	497
21	503	495
22	507	491
23	505	492
24	524	495
25	511	491
26	510	498
27	512	500
28	518	501
29	508	494
30	506	499
31	517	496
32	509	501
33	498	492
34	507	497
35	508	493
36	506	496
37	508	490
38	510	495
39	517	493
40	511	493
41	498	491
42	520	496
43	498	490
44	504	496
45	501	496
46	506	491
47	504	498
48	513	499
49	507	494
50	509	494
51	506	494
52	513	500
53	507	495
54	513	501
55	512	497
56	515	494
57	506	492
58	501	489
59	525	495
60	518	495
61	503	492
62	498	494
63	505	496
64	503	494
65	510	495
66	512	496
67	513	496
68	513	498
69	505	493
70	514	497
71	504	498
72	503	492
73	517	499
74	500	492
75	501	494
76	502	495
77	511	501
78	512	491
79	500	493
80	516	497
81	501	496
82	505	494
83	500	495
84	520	492
85	520	497
86	516	491
87	505	491
88	502	493
89	506	498
90	516	495
91	502	495
92	500	494
93	501	491
94	511	499
95	506	498
96	508	501
97	512	494
98	497	489
99	507	498
