./instancias/texto_mas_parecido_15_700_2.txt#21:30:42#21:36:25
Iteración	Distancia Inicial	Distancia Obtenida
0	511	498
1	513	495
2	518	500
3	505	500
4	503	500
5	510	503
6	509	496
7	517	497
8	519	500
9	508	497
10	514	500
11	512	501
12	508	497
13	523	498
14	526	500
15	515	499
16	512	500
17	507	500
18	513	494
19	516	496
20	516	499
21	509	501
22	522	500
23	520	495
24	505	500
25	514	498
26	508	504
27	519	498
28	517	500
29	511	498
30	507	497
31	513	497
32	512	497
33	518	505
34	506	496
35	509	499
36	511	498
37	502	496
38	516	500
39	510	498
40	519	501
41	508	498
42	507	498
43	516	497
44	511	495
45	526	504
46	525	498
47	521	502
48	511	500
49	516	498
50	508	501
51	511	499
52	505	498
53	515	503
54	512	499
55	500	495
56	508	490
57	512	501
58	516	506
59	507	497
60	508	495
61	512	501
62	509	494
63	516	500
64	521	510
65	511	499
66	510	497
67	510	500
68	514	499
69	500	493
70	506	496
71	526	500
72	520	495
73	505	498
74	514	500
75	519	497
76	510	498
77	515	500
78	511	500
79	518	499
80	516	499
81	507	499
82	520	501
83	505	497
84	504	495
85	512	499
86	509	500
87	500	493
88	504	496
89	507	500
90	525	502
91	510	505
92	519	508
93	517	500
94	508	501
95	509	496
96	516	497
97	509	498
98	514	500
99	503	500
