./instancias/texto_mas_parecido_15_700_1.txt#22:26:25#22:32:34
Iteración	Distancia Inicial	Distancia Obtenida
0	506	497
1	507	499
2	511	499
3	505	496
4	513	498
5	515	494
6	515	497
7	526	498
8	507	493
9	521	498
10	510	498
11	514	499
12	508	496
13	515	498
14	507	499
15	506	498
16	507	493
17	506	491
18	514	499
19	511	490
20	503	491
21	514	499
22	510	497
23	515	497
24	509	497
25	513	494
26	505	490
27	506	494
28	520	497
29	509	499
30	508	499
31	507	498
32	514	498
33	509	499
34	506	494
35	509	498
36	501	491
37	510	495
38	510	496
39	516	496
40	502	494
41	511	498
42	509	494
43	503	491
44	516	498
45	504	496
46	501	491
47	515	495
48	510	500
49	508	497
50	505	496
51	507	491
52	508	497
53	505	496
54	500	495
55	504	492
56	503	496
57	512	493
58	512	500
59	508	493
60	508	501
61	509	500
62	512	493
63	513	494
64	512	497
65	493	488
66	514	499
67	509	496
68	519	495
69	509	494
70	518	495
71	511	493
72	508	495
73	506	497
74	504	497
75	502	495
76	502	494
77	505	494
78	506	494
79	518	504
80	506	494
81	506	491
82	512	496
83	508	493
84	506	492
85	504	496
86	503	495
87	502	495
88	507	492
89	509	495
90	513	498
91	504	497
92	511	496
93	516	499
94	518	493
95	504	494
96	514	504
97	502	491
98	521	493
99	515	502
