./instancias/texto_mas_parecido_15_700_3.txt#20:32:19#20:38:16
Iteración	Distancia Inicial	Distancia Obtenida
0	506	495
1	507	490
2	512	492
3	505	496
4	512	496
5	503	496
6	505	494
7	523	491
8	509	495
9	506	495
10	505	492
11	513	496
12	505	497
13	510	497
14	508	494
15	506	496
16	512	488
17	508	495
18	503	499
19	501	489
20	512	495
21	510	499
22	517	500
23	505	495
24	506	497
25	506	493
26	515	498
27	504	499
28	507	491
29	504	488
30	513	497
31	514	498
32	503	497
33	509	492
34	505	491
35	511	498
36	504	495
37	508	492
38	507	496
39	507	497
40	519	493
41	517	497
42	504	492
43	507	492
44	509	494
45	506	491
46	504	497
47	503	493
48	510	494
49	505	499
50	502	493
51	501	493
52	518	494
53	503	493
54	516	492
55	506	499
56	504	493
57	513	498
58	511	500
59	521	493
60	505	492
61	505	492
62	506	493
63	503	492
64	506	495
65	508	497
66	509	496
67	509	495
68	500	491
69	503	493
70	516	500
71	510	497
72	518	500
73	515	497
74	503	494
75	515	491
76	508	494
77	512	489
78	520	503
79	514	497
80	502	499
81	515	491
82	515	497
83	511	496
84	503	497
85	510	494
86	503	493
87	509	497
88	513	502
89	515	494
90	502	494
91	507	491
92	510	495
93	506	496
94	506	500
95	508	497
96	512	499
97	507	492
98	515	498
99	503	496
